Whichyear,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight,feelingrightnow
4th year,69,Male,23,Home,Single,Yes,5,Normal,Yes,Yes,No,Friends,Yes,No,Yes,No,No,6,Normal
4th year,17,Male,23,Home,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Yes,Yes,No,Yes,No,5,Very bad
4th year,96,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8,Very good
4th year,71,Male,23,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7,Good
4th year,91,Male,23,Home,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,7,Very good
4th year,53,Male,23,Playground,Single,No,4,Normal,Yes,No,No,Friends,Yes,Maybe,Neutral,No,Yes,7,Normal
4th year,61,Male,23,Playground,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,6,Normal
4th year,91,Male,23,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9,Very good
4th year,61,Male,23,Playground,Single,No,3,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,Yes,6,Normal
4th year,61,Male,23,Playground,Single,No,5,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,8,Normal
4th year,72,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,7,Good
4th year,89,Male,23,Playground,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,8,Good
4th year,74,Male,23,Playground,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,9,Good
4th year,23,Male,23,Playground,Single,No,1,Bad,Yes,No,Yes,Friends,Yes,No,Neutral,Yes,No,7,Bad
4th year,45,Male,23,Hall-Mess,Single,Yes,3,Good,Yes,No,No,Family,Yes,Maybe,Neutral,Yes,No,5,Bad
4th year,12,Male,23,Playground,Single,No,2,Normal,Yes,No,Yes,Family,Yes,Maybe,No,No,No,7,Very bad
4th year,86,Male,23,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,9,Good
4th year,53,Male,23,Home,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,Yes,No,6,Normal
4th year,98,Male,23,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7,Very good
4th year,38,Male,23,Playground,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,No,4,Bad
4th year,19,Male,23,Department,Single,Yes,3,Good,Yes,No,No,Family,Yes,Yes,Yes,Yes,No,3,Very bad
4th year,91,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8,Very good
4th year,53,Male,23,Playground,Single,Yes,4,Good,Yes,No,No,Family,Yes,No,Neutral,Yes,No,6,Normal
4th year,76,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,7,Good
4th year,92,Male,23,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,8,Very good
4th year,44,Male,23,Playground,Single,No,1,Bad,Yes,Yes,Yes,Family,Yes,Yes,Neutral,Yes,Yes,3,Bad
4th year,9,Male,23,Playground,Single,No,1,Bad,Yes,No,Yes,Friends,Yes,No,Yes,Yes,No,5,Very bad
4th year,11,Male,23,Home,Single,No,2,Bad,Yes,Yes,Yes,Friends,Yes,No,Yes,No,Yes,4,Very bad
4th year,94,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,7,Very good
4th year,58,Male,23,Playground,Single,No,3,Good,Yes,No,No,Family,Yes,Maybe,Yes,No,No,8,Normal
4th year,90,Male,23,Department,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8,Very good
4th year,1,Male,23,Home,Single,No,3,Good,Yes,Yes,No,Family,Yes,Yes,No,Yes,No,4,Very bad
4th year,15,Male,23,Home,Single,No,3,Bad,Yes,Yes,Yes,Friends,Yes,No,No,Yes,Yes,6,Very bad
4th year,92,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,10,Very good
4th year,52,Male,23,Playground,Single,No,4,Good,Yes,No,No,Friends,Yes,No,Neutral,Yes,Yes,8,Normal
4th year,15,Male,23,Playground,Single,No,2,Good,Yes,No,Yes,Friends,Yes,Yes,No,Yes,No,3,Very bad
4th year,56,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,Yes,No,6,Normal
4th year,70,Male,23,Hall-Mess,Single,No,5,Normal,No,No,No,Friends,Yes,Maybe,Yes,Yes,Yes,6,Normal
4th year,68,Male,23,Playground,Single,Yes,4,Good,Yes,No,Yes,Friends,Yes,Maybe,Neutral,Yes,No,6,Normal
4th year,59,Male,23,Hall-Mess,Single,No,3,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,Yes,No,8,Normal
4th year,41,Male,23,Playground,Single,Yes,3,Bad,Yes,No,No,Friends,Yes,No,Yes,No,No,5,Bad
4th year,92,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,9,Very good
